iter	RMSE
0	2.22670386
1	2.082842351
2	1.949934813	3	1.823281594	4	1.705742575	5	1.596566906	6	1.496246007	7	1.4026532788	1.31380628
9	1.231381824
10	1.158681879
11	1.087422028
12	1.022295483
13	0.9612206896
14	0.9030201324
15	0.8497830331
16	0.7998842314
17	0.7545703989
18	0.7128275253
19	0.6728277999
20	0.6369620288
21	0.6022300755
22	0.5705218182
23	0.5412660669
24	0.5140454071
25	0.4894089615
26	0.4661302705
27	0.4454870369
28	0.4255474977
29	0.4076945064
30	0.3907829836
31	0.3758910139
32	0.3620010459
33	0.3488579534	34	0.3081052135	35	0.296577573636	0.2853912243737	0.2751858901
38	0.2658466783939	0.2571609198
40	0.2495679966
41	0.242162585
42	0.2356307144
43	0.2296799514
44	0.224234653
45	0.2191340235
46	0.2145144309
47	0.2103215411
48	0.206560229
49	0.2029781372
50	0.1998492168
51	0.1969332825
52	0.1943336241
53	0.1918702772
54	0.1899621401
55	0.1878704221
56	0.1859887612
57	0.1843532731
58	0.1829011671
59	0.1814403235
60	0.1801059103
61	0.1789522624
62	0.1779082829
63	0.1769346745
64	0.1760776357
65	0.1752070806
66	0.1743170868
67	0.1735782592
68	0.1728233356
69	0.1722456789
70	0.1716340117171	0.1709962467272	0.170423435773	0.1699215498774	0.1694817132775	0.1690436331776	0.168678738
77	0.2117752276
78	0.211080547
79	0.2106238739
80	0.2103295786
81	0.2100284757
82	0.2097518135
83	0.2095025247
84	0.2090580785
85	0.2088327675
86	0.2082436579
87	0.2080712022
88	0.2078753139
89	0.2077195754
90	0.2075526658
91	0.2074096449
92	0.2067728762
93	0.2066603565
94	0.2062965922
95	0.2061635253
96	0.2060391178
97	0.2058581638
98	0.2055310599
99	0.2052631879
100	0.2051218609
101	0.2045897994
102	0.2044493665
103	0.2043284292
104	0.2040561454
105	0.2039609863
106	0.2038541126
107	0.2037639827
108	0.2035217548
109	0.2034304024
110	0.2033513096
111	0.2032645175
112	0.2027830746
113	0.2027095657
114	0.2022772878
115	0.2021480183
116	0.2020300376
117	0.2019685877
118	0.2017192305
119	0.2014837276
120	0.2014037903
121	0.2011572387
122	0.2010535197
123	0.2009593951
124	0.2008977667
125	0.2003941257
126	0.2002844413
127	0.2001907865
128	0.2001332501
129	0.2000508905
130	0.1999923174
131	0.1997848729
132	0.1995803784
133	0.1994955688
134	0.199295398
135	0.1991165407
136	0.1987667295
137	0.1985858111
138	0.1983594666
139	0.1982803396
140	0.1982082254
141	0.1981736554
142	0.1981104057
143	0.1979380556
144	0.1977775677
145	0.1975754988
146	0.1975106866
147	0.1973102552
148	0.1971173651
149	0.1970656683
150	0.1968546894
151	0.196758776
152	0.1965877751
153	0.1964608531
154	0.1960005619
